gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm(Company name),curcd,fyr,act (current assets(total Million),ao (Assets other),aqc (Cash flow for acquisitions),at (assets total M),capx (Capital expenditure M),ceq (ordinary equity),cstk (Common ordinary stock capital M),dltt (Long term debt total M),dvt (dividends total common+preferred+shared apital),ebit (M),ebitda (M),epspi (earnings per share including spl items dividends Dollars and cents ),gp (Gross profit/loss M),Icapt (Invested capital),intan (intngible assets),ni (net income),ppent (Property plant and eqipments),revt (revenue in M),txc (Total taxes in M) ,txfed (federal income tax current M),wcap (total current assets-total liability=Working capital),xopr (Operating expenses total),mkvalt (Market value (Total fiscal)
1161,20101231,2010,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,3594,309,0,4964,148,1013,7,2188,0,492,809,0.66,3148,3201,360,471,700,6494,43,-4,1920,5685,5586.94
1161,20111231,2011,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,3229,241,0,4954,250,1590,7,1527,0,495,741,0.68,3186,3117,331,491,726,6568,2,-3,1455,5827,3769.2
1161,20121231,2012,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2265,247,281,4000,133,538,7,2037,0,31,224,-1.6,2395,2575,649,-1183,658,5422,6,0,868,5198,1711.2
1161,20131231,2013,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2884,106,0,4337,84,544,7,1998,0,85,242,-0.11,2117,2542,911,-83,346,5299,8,-2,1266,5057,2805.75
1161,20141231,2014,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2736,125,0,3767,95,187,8,2035,0,149,278,-0.53,1954,2222,604,-403,302,5506,5,-1,1296,5228,2071.92
1161,20151231,2015,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2320,134,0,3109,96,-412,8,2032,0,-319,-222,-0.84,1207,1620,467,-660,188,3991,15,-1,917,4213,2273.04
1161,20161231,2016,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2530,47,0,3321,77,416,9,1435,0,-130,-59,-0.6,1409,1851,521,-497,164,4272,19,-2,1184,4331,10602.9
1161,20171231,2017,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2622,71,0,3540,113,611,9,1325,0,152,229,0.04,1900,1936,528,43,261,5329,35,-3,1136,5100,9940.76
1161,20181231,2018,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,3540,95,0,4556,163,1266,10,1114,0,496,590,0.34,2586,2380,515,337,348,6475,-5,12,1556,5885,18552.3
1161,20191231,2019,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,4597,169,0,6028,217,2827,12,685,0,583,725,0.31,3010,3512,499,341,705,6731,38,-13,2238,6006,53656.2
1161,20201231,2020,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,6143,1389,0,8962,294,5837,12,531,0,1383,1600,2.1,4564,6368,518,2490,849,9763,13,0,3726,8163,111060.81
2991,20101231,2010,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,48841,3210,0,184769,19612,105081,1832,11289,5674,25619,38682,9.53,44543,117100,4617,19024,104504,189607,12360,1501,19829,150925,183182.6413
2991,20111231,2011,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,53234,3889,3412,209474,26500,121382,1832,9812,6139,38299,51210,13.54,57171,131993,4642,26895,122608,236286,19037,1893,19634,185076,210796.1688
2991,20121231,2012,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,55720,4503,0,232982,30938,136524,1832,12065,6844,35013,48426,13.42,54878,149897,4640,26179,141348,222580,17981,1703,21508,174154,210515.9217
2991,20131231,2013,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,50250,5700,0,253753,37985,149113,1832,20057,7474,27213,41399,11.18,47770,170484,4639,21423,164829,211664,12431,15,17232,170265,239028.1507
2991,20141231,2014,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,42232,6299,0,266026,35407,155028,1832,24028,7928,19726,36519,10.21,42998,180219,4593,19241,183173,192308,10319,748,10306,155789,210859.0248
2991,20151231,2015,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,35347,8250,0,266103,29504,152716,1832,33664,7992,-3357,17680,2.46,25329,187550,4588,4587,188396,122566,1993,-817,8883,104886,169377.9474
2991,20161231,2016,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,29619,10957,0,260078,18109,145556,1832,35286,8032,-6133,13324,-0.27,19041,182008,4581,-497,182186,103310,2106,-623,-2166,89986,222630.3739
2991,20171231,2017,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,28560,7657,0,253806,13404,148124,1832,33571,8132,2480,21829,4.88,27141,182890,4531,9195,177712,127485,3155,-382,823,105656,238449.6434
2991,20181231,2018,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,34021,8629,0,253863,13792,154554,1832,28733,8502,14446,33865,7.81,38913,184375,4518,14824,169207,158902,4664,-181,6850,125037,207009.746
2991,20191231,2019,INDL,C,D,STD,CVX,CHEVRON CORP,USD,12,28329,9869,0,237428,14116,144213,1832,26299,8959,100,29318,1.55,34231,171507,4463,2924,154568,139865,4657,-73,1799,110547,226820.0657
4201,20101031,2010,FS,C,D,STD,EV,EATON VANCE CORP,USD,10,499.274,228.909,,1280.607,,410.285,0.463,500,78.126,,,,,999.941,208.804,,71.219,1128.825,142.767,,,,
